"","Sample","Passage","Ct","Line","Strain","Species","start","passage","days.on.plate"
"1","FCX1",0,Inf,"FCX1","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"2","FCX2",0,13.7396,"FCX2","JU1580","elegans","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"3","FCX3",0,21.2427,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"4","FCX4",0,Inf,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"5","FCX5",0,20.8524,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"6","FCX6",0,25.9733,"FCX6","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"7","FCX7",0,26.892,"FCX7","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"8","FCX8",0,26.2848,"FCX8","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"9","FCX9",0,25.1513,"FCX9","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"10","FCX10",0,19.8711,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"11","FCX11",0,21.3308,"FCX11","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"12","FCX12",0,Inf,"FCX12","JU1428","tropicalis","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"13","FCX13",0,22.2569,"FCX13","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"14","FCX14",0,29.3252,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"15","FCX16",0,24.679,"FCX16","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"16","FCX36.1",1,17.8516,"FCX36","SB454","sulstoni","4/13/2022 9:20","4/17/2022 13:00",4.152777778
"17","FCX37.1",1,18.4373,"FCX37","SB454","sulstoni","4/12/2022 8:30","4/15/2022 23:00",3.604166667
"18","FCX38.1",1,17.182,"FCX38","SB454","sulstoni","4/12/2022 12:10","4/15/2022 23:00",3.451388889
"19","FCX1.1",1,Inf,"FCX1","JU1580","elegans","4/12/2022 8:30","4/15/2022 23:00",3.604166667
"20","FCX2.1",1,16.616,"FCX2","JU1580","elegans","4/12/2022 8:30","4/15/2022 23:00",3.604166667
"21","FCX3.1",1,Inf,"FCX3","JU4093","sp.66","4/12/2022 12:10","4/16/2022 22:00",4.409722222
"22","FCX4.1",1,Inf,"FCX4","JU4093","sp.66","4/12/2022 12:10","4/16/2022 22:00",4.409722222
"23","FCX5.1",1,26.0206,"FCX5","JU4093","sp.66","4/13/2022 9:20","4/16/2022 22:00",3.527777778
"24","FCX6.1",1,17.2532,"FCX6","JU4093","sp.66","4/12/2022 12:10","4/16/2022 22:00",4.409722222
"25","FCX7.1",1,Inf,"FCX7","JU1857","macrosperma","4/13/2022 9:20","4/16/2022 22:00",3.527777778
"26","FCX8.1",1,25.505,"FCX8","JU1857","macrosperma","4/13/2022 9:20","4/16/2022 22:00",3.527777778
"27","FCX9.1",1,24.9164,"FCX9","JU1857","macrosperma","4/13/2022 13:10","4/17/2022 13:00",3.993055556
"28","FCX10.1",1,23.4431,"FCX10","JU1857","macrosperma","4/13/2022 9:20","4/16/2022 22:00",3.527777778
"29","FCX28.1",1,25.641,"FCX28","VX80","latens","4/13/2022 13:10","4/17/2022 13:00",3.993055556
"30","FCX31.1",1,Inf,"FCX31","JU1873","wallacei","4/12/2022 8:30","4/15/2022 23:00",3.604166667
"31","FCX32.1",1,Inf,"FCX32","JU1873","wallacei","4/12/2022 8:30","4/15/2022 23:00",3.604166667
"32","FCX33.1",1,36,"FCX33","JU1873","wallacei","4/12/2022 12:10","4/15/2022 23:00",3.451388889
"33","FCX34.1",1,17.535,"FCX34","JU1873","wallacei","4/12/2022 12:10","4/15/2022 23:00",3.451388889
"34","FCX35.1",1,Inf,"FCX35","SB454","sulstoni","4/12/2022 8:30","4/15/2022 23:00",3.604166667
"35","FCX21",0,19.7391,"FCX21","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"36","FCX29",0,23.2294,"FCX29","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"37","FCX22",0,23.2042,"FCX22","ZF1092","sp.25","4/7/2022 9:30","4/15/2022 5:45",7.84375
"38","FCX30",0,27.9483,"FCX30","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"39","FCX23",0,Inf,"FCX23","JU1331","doughertyi","4/7/2022 9:30","4/15/2022 5:45",7.84375
"40","FCX31",0,15.7687,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"41","FCX24",0,Inf,"FCX24","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"42","FCX32",0,17.5578,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"43","FCX17",0,31.8042,"FCX17","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"44","FCX25",0,Inf,"FCX25","JU1331","doughertyi","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"45","FCX33",0,16.4674,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"46","FCX18",0,33.0995,"FCX18","JU724","latens","4/7/2022 9:30","4/18/2022 9:00",10.97916667
"47","FCX26",0,Inf,"FCX26","JU1331","doughertyi","4/7/2022 9:30","4/15/2022 5:45",7.84375
"48","FCX34",0,19.2722,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"49","FCX19",0,32.3578,"FCX19","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"50","FCX27",0,21.8387,"FCX27","VX80","latens","4/7/2022 9:30","4/15/2022 20:50",8.472222222
"51","FCX35",0,23.3067,"FCX35","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"52","FCX20",0,Inf,"FCX20","ZF1092","sp.25","4/7/2022 9:30","4/14/2022 8:40",6.965277778
"53","FCX28",0,18.9068,"FCX28","VX80","latens","4/7/2022 9:30","4/13/2022 13:10",6.152777778
"54","FCX36",0,13.628,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"55","FCX37",0,23.3202,"FCX37","SB454","sulstoni","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"56","FCX38",0,16.6441,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"57","FCX11.1",1,31.166,"FCX11","JU1428","tropicalis","4/13/2022 13:10","4/19/2022 9:00",5.826388889
"58","FCX13.1",1,35.1078,"FCX13","JU1428","tropicalis","4/13/2022 13:10","4/19/2022 9:00",5.826388889
"59","FCX14.1",1,32.7253,"FCX14","JU1428","tropicalis","4/13/2022 9:20","4/19/2022 9:00",5.986111111
"60","FCX25.1",1,Inf,"FCX25","JU1331","doughertyi","4/14/2022 8:40","4/19/2022 9:00",5.013888889
"61","FCX34.2",2,11.8435,"FCX34","JU1873","wallacei","4/15/2022 23:00","4/20/2022 8:20",4.388888889
"62","FCX33.2",2,Inf,"FCX33","JU1873","wallacei","4/15/2022 23:00","4/20/2022 8:20",4.388888889
"63","FCX2.2",2,11.19,"FCX2","JU1580","elegans","4/15/2022 23:00","4/20/2022 8:20",4.388888889
"64","FCX23.1",1,Inf,"FCX23","JU1331","doughertyi","4/15/2022 5:45","4/20/2022 8:20",5.107638889
"65","FCX12.1",1,32.0256,"FCX12","JU1428","tropicalis","4/14/2022 8:40","4/20/2022 8:20",5.986111111
"66","FCX22.1",1,Inf,"FCX22","ZF1092","sp.25","4/15/2022 5:45","4/20/2022 8:20",5.107638889
"67","FCX37.2",2,14.4781,"FCX37","SB454","sulstoni","4/15/2022 23:00","4/20/2022 8:20",4.388888889
"68","FCX19.1",1,Inf,"FCX19","ZF1092","sp.25","4/14/2022 8:40","4/20/2022 8:20",5.986111111
"69","FCX1.2",2,Inf,"FCX1","JU1580","elegans","4/15/2022 23:00","4/20/2022 8:20",4.388888889
"70","FCX20.1",1,Inf,"FCX20","ZF1092","sp.25","4/14/2022 8:40","4/20/2022 8:20",5.986111111
"71","FCX38.2",2,12.6715,"FCX38","SB454","sulstoni","4/15/2022 23:00","4/20/2022 8:20",4.388888889
"72","FCX8.2",2,Inf,"FCX8","JU1857","macrosperma","4/16/2022 22:00","4/21/2022 12:35",4.607638889
"73","FCX6.2",2,Inf,"FCX6","JU4093","sp.66","4/16/2022 22:00","4/21/2022 12:35",4.607638889
"74","FCX27.1",1,31.3565,"FCX27","VX80","latens","4/15/2022 20:50","4/21/2022 12:35",5.65625
"75","FCX5.2",2,20.077,"FCX5","JU4093","sp.66","4/16/2022 22:00","4/21/2022 12:35",4.607638889
"76","FCX29.1",1,Inf,"FCX29","VX80","latens","4/15/2022 20:50","4/21/2022 12:35",5.65625
"77","FCX36.2",2,14.8716,"FCX36","SB454","sulstoni","4/17/2022 13:00","",-44668.54167
"78","FCX26.1",1,Inf,"FCX26","JU1331","doughertyi","4/15/2022 5:45","4/21/2022 12:35",6.284722222
"79","FCX21.1",1,Inf,"FCX21","ZF1092","sp.25","4/15/2022 5:45","4/21/2022 12:35",6.284722222
"80","FCX9.2",2,Inf,"FCX9","JU1857","macrosperma","4/17/2022 13:00","4/21/2022 12:35",3.982638889
"81","FCX10.2",2,32.1445,"FCX10","JU1857","macrosperma","4/16/2022 22:00","4/21/2022 12:35",4.607638889
"82","FCX38.3",3,13.092,"FCX38","SB454","sulstoni","4/20/2022 8:20","4/24/2022 13:30",4.215277778
"83","FCX12.2",2,Inf,"FCX12","JU1428","tropicalis","4/20/2022 8:20","4/25/2022 10:30",5.090277778
"84","FCX37.3",3,13.6904,"FCX37","SB454","sulstoni","4/20/2022 8:20","4/24/2022 13:30",4.215277778
"85","FCX11.2",2,Inf,"FCX11","JU1428","tropicalis","4/19/2022 9:00","4/25/2022 10:30",6.0625
"86","FCX17.1",1,26.3264,"FCX17","JU724","latens","4/18/2022 9:00","4/25/2022 10:30",7.0625
"87","FCX13.2",2,Inf,"FCX13","JU1428","tropicalis","4/19/2022 9:00","4/24/2022 13:30",5.1875
"88","FCX10.3",3,Inf,"FCX10","JU1857","macrosperma","4/21/2022 12:35","4/25/2022 10:30",3.913194444
"89","FCX2.3",3,14.6206,"FCX2","JU1580","elegans","4/20/2022 8:20","4/25/2022 10:30",5.090277778
"90","FCX34.3",3,15.1364,"FCX34","JU1873","wallacei","4/20/2022 8:20","4/24/2022 13:30",4.215277778
"91","FCX5.3",3,20.3718,"FCX5","JU4093","sp.66","4/21/2022 12:35","4/25/2022 10:30",3.913194444
"92","FCX18.1",1,Inf,"FCX18","JU724","latens","4/18/2022 9:00","4/24/2022 13:30",6.1875
"93","FCX28.2",2,22.4969,"FCX28","VX80","latens","4/17/2022 13:00","4/23/2022 5:30",5.6875
"94","FCX16.1",1,34.2808,"FCX16","JU724","latens","4/18/2022 9:00","4/24/2022 13:30",6.1875
"95","FCX14.2",2,Inf,"FCX14","JU1428","tropicalis","4/19/2022 9:00","4/24/2022 13:30",5.1875
"96","FCX30.1",1,Inf,"FCX30","VX80","latens","4/15/2022 20:50","4/25/2022 10:30",9.569444444
"97","FCX1.3",3,Inf,"FCX1","JU1580","elegans","4/20/2022 8:20","4/24/2022 13:30",4.215277778
"98","FCX36.3",3,17.5219,"FCX36","SB454","sulstoni","1/0/1900 0:00","",0
"99","FCX17.2",2,Inf,"FCX17","JU724","latens","4/25/2022 10:30","4/30/2022 20:45",5.427083333
"100","FCX2.4",4,12.6825,"FCX2","JU1580","elegans","4/25/2022 10:30","",-44676.4375
"101","FCX16.2",2,Inf,"FCX16","JU724","latens","4/24/2022 13:30","4/30/2022 20:45",6.302083333
"102","FCX36.4",4,11.5873,"FCX36","SB454","sulstoni","1/0/1900 0:00","4/29/2022 22:45",44680.94792
"103","FCX5.4",4,14.4481,"FCX5","JU4093","sp.66","4/25/2022 10:30","4/29/2022 22:45",4.510416667
"104","FCX38.4",4,12.1394,"FCX38","SB454","sulstoni","4/24/2022 13:30","4/29/2022 22:45",5.385416667
"105","FCX34.5",5,13.0533,"FCX34","JU1873","wallacei","4/28/2022 13:00","5/2/2022 21:15",4.34375
"106","FCX37.5",5,12.4635,"FCX37","SB454","sulstoni","4/28/2022 13:00","5/2/2022 21:15",4.34375
"107","FCX27.3",3,Inf,"FCX27","VX80","latens","4/26/2022 13:10","5/2/2022 21:15",6.336805556
"108","FCX34.4",4,13.409,"FCX34","JU1873","wallacei","4/24/2022 13:30","4/28/2022 13:00",3.979166667
"109","FCX1.4",4,Inf,"FCX1","JU1580","elegans","4/24/2022 13:30","4/28/2022 13:00",3.979166667
"110","FCX28.3",3,Inf,"FCX28","VX80","latens","4/23/2022 5:30","4/28/2022 13:00",5.3125
"111","FCX27.2",2,Inf,"FCX27","VX80","latens","4/21/2022 12:35","4/26/2022 13:10",5.024305556
"112","FCX37.4",4,17.0286,"FCX37","SB454","sulstoni","4/24/2022 13:30","4/28/2022 13:00",3.979166667
"113","FCX38.5",5,11.0995,"FCX38","SB454","sulstoni","4/29/2022 22:45","5/4/2022 14:00",4.635416667
"114","FCX36.5",5,11.0894,"FCX36","SB454","sulstoni","4/29/2022 22:45","5/4/2022 14:00",4.635416667
"115","FCX28.4",4,33.7633,"FCX28","VX80","latens","4/28/2022 13:00","5/4/2022 14:00",6.041666667
"116","FCX5.5",5,17.1982,"FCX5","JU4093","sp.66","4/29/2022 22:45","5/4/2022 14:00",4.635416667
"117","FCX1.6",6,34.5026,"FCX1","JU1580","elegans","5/1/2022 15:40","5/5/2022 13:00",3.888888889
"118","FCX1.7",7,Inf,"FCX1","JU1580","elegans","5/5/2022 13:00","5/9/2022 10:00",3.875
"119","FCX1.8",8,Inf,"FCX1","JU1580","elegans","5/9/2022 10:00","5/12/2022 11:15",3.052083333
"120","FCX2.5",5,12.9121,"FCX2","JU1580","elegans","1/0/1900 0:00","5/6/2022 11:15",44687.46875
"121","FCX2.6",6,13.1882,"FCX2","JU1580","elegans","5/6/2022 11:15","5/12/2022 11:15",6
"122","FCX28.5",5,Inf,"FCX28","VX80","latens","5/4/2022 14:00","5/11/2022 9:45",6.822916667
"123","FCX5.6",6,16.3518,"FCX5","JU4093","sp.66","5/4/2022 14:00","5/9/2022 10:00",4.833333333
"124","FCX34.6",6,13.1978,"FCX34","JU1873","wallacei","5/2/2022 21:15","5/6/2022 11:15",3.583333333
"125","FCX34.7",7,13.4607,"FCX34","JU1873","wallacei","5/6/2022 11:15","5/10/2022 13:00",4.072916667
"126","FCX37.6",6,12.6327,"FCX37","SB454","sulstoni","5/2/2022 21:15","5/7/2022 10:25",4.548611111
"127","FCX37.7",7,15.9159,"FCX37","SB454","sulstoni","5/7/2022 10:25","5/11/2022 9:45",3.972222222
"128","FCX36.6",6,12,"FCX36","SB454","sulstoni","5/4/2022 14:00","5/9/2022 10:00",4.833333333
"129","FCX38.6",6,11.451,"FCX38","SB454","sulstoni","5/4/2022 14:00","5/9/2022 10:00",4.833333333
"130","FCX37.8",8,11.8257,"FCX37","SB454","sulstoni","5/11/2022 9:45","5/16/2022 8:30",4.947916667
"131","FCX1.9",9,Inf,"FCX1","JU1580","elegans","5/12/2022 11:15","5/16/2022 8:30",3.885416667
"132","FCX37.9",9,14.142,"FCX37","SB454","sulstoni","5/16/2022 8:30","5/20/2022 10:00",4.0625
"133","FCX1.10",10,Inf,"FCX1","JU1580","elegans","5/16/2022 8:30","5/20/2022 10:00",4.0625
"134","FCX38.8",8,12.2432,"FCX38","SB454","sulstoni","5/14/2022 5:25","5/18/2022 15:00",4.399305556
"135","FCX34.9",9,13.4069,"FCX34","JU1873","wallacei","5/14/2022 5:25","5/18/2022 15:00",4.399305556
"136","FCX5.8",8,16.1262,"FCX5","JU4093","sp.66","5/14/2022 5:25","5/18/2022 15:00",4.399305556
"137","FCX36.8",8,11.485,"FCX36","SB454","sulstoni","5/14/2022 5:25","5/19/2022 8:30",5.128472222
"138","FCX2.7",7,13.1529,"FCX2","JU1580","elegans","5/12/2022 11:15","5/19/2022 8:30",6.885416667
"139","FCX38.9",9,13.2923,"FCX38","SB454","sulstoni","5/18/2022 15:00","5/22/2022 13:00",3.916666667
"140","FCX34.10",10,16.907,"FCX34","JU1873","wallacei","5/18/2022 15:00","5/22/2022 13:00",3.916666667
"141","FCX2.8",8,13.095,"FCX2","JU1580","elegans","5/19/2022 8:30","5/24/2022 8:45",5.010416667
"142","FCX36.9",9,18.1606,"FCX36","SB454","sulstoni","5/19/2022 8:30","5/24/2022 8:45",5.010416667
"143","FCX5.9",9,18.0452,"FCX5","JU4093","sp.66","5/18/2022 15:00","5/23/2022 14:30",4.979166667
"144","FCX37.10",10,15.8694,"FCX37","SB454","sulstoni","5/20/2022 10:00","5/23/2022 14:30",3.1875
"145","FCX34.8",8,12.8542,"FCX34","JU1873","wallacei","5/10/2022 13:00","5/14/2022 5:25",3.684027778
"146","FCX36.7",7,11.9903,"FCX36","SB454","sulstoni","5/9/2022 10:00","5/14/2022 5:25",4.809027778
"147","FCX38.7",7,12.2774,"FCX38","SB454","sulstoni","5/9/2022 10:00","5/14/2022 5:25",4.809027778
"148","FCX38.10",10,12.7085,"FCX38","SB454","sulstoni","5/22/2022 13:00","5/26/2022 8:20",3.805555556
"149","FCX5.10",10,Inf,"FCX5","JU4093","sp.66","5/23/2022 14:30","5/28/2022 5:25",4.621527778
"150","FCX2.9",9,14.1031,"FCX2","JU1580","elegans","5/24/2022 8:45","5/29/2022 5:35",4.868055556
"151","FCX36.10",10,17.5125,"FCX36","SB454","sulstoni","5/24/2022 8:45","5/29/2022 5:35",4.868055556
"152","FCX15",NA,NA,"FCX15","JU724","latens","4/7/2022 9:30","",-44658.39583
"153","FCX15.1",NA,NA,"FCX15","JU724","latens","1/0/1900 0:00","",0
"154","FCX24.1",NA,NA,"FCX24","JU1331","doughertyi","4/14/2022 8:40","",-44665.36111
"155","FCX3.2",NA,NA,"FCX3","JU4093","sp.66","4/16/2022 22:00","",-44667.91667
"156","FCX4.2",NA,NA,"FCX4","JU4093","sp.66","4/16/2022 22:00","",-44667.91667
"157","FCX7.2",NA,NA,"FCX7","JU1857","macrosperma","4/16/2022 22:00","",-44667.91667
"158","FCX15.2",NA,NA,"FCX15","JU724","latens","1/0/1900 0:00","",0
"159","FCX18.2",NA,NA,"FCX18","JU724","latens","4/24/2022 13:30","",-44675.5625
"160","FCX19.2",NA,NA,"FCX19","ZF1092","sp.25","4/20/2022 8:20","",-44671.34722
"161","FCX20.2",NA,NA,"FCX20","ZF1092","sp.25","4/20/2022 8:20","",-44671.34722
"162","FCX21.2",NA,NA,"FCX21","ZF1092","sp.25","4/21/2022 12:35","",-44672.52431
"163","FCX22.2",NA,NA,"FCX22","ZF1092","sp.25","4/20/2022 8:20","",-44671.34722
"164","FCX23.2",NA,NA,"FCX23","JU1331","doughertyi","4/20/2022 8:20","",-44671.34722
"165","FCX24.2",NA,NA,"FCX24","JU1331","doughertyi","1/0/1900 0:00","",0
"166","FCX25.2",NA,NA,"FCX25","JU1331","doughertyi","4/19/2022 9:00","",-44670.375
"167","FCX26.2",NA,NA,"FCX26","JU1331","doughertyi","4/21/2022 12:35","",-44672.52431
"168","FCX29.2",NA,NA,"FCX29","VX80","latens","4/21/2022 12:35","",-44672.52431
"169","FCX30.2",NA,NA,"FCX30","VX80","latens","4/25/2022 10:30","",-44676.4375
"170","FCX31.2",NA,NA,"FCX31","JU1873","wallacei","4/15/2022 23:00","",-44666.95833
"171","FCX32.2",NA,NA,"FCX32","JU1873","wallacei","4/15/2022 23:00","4/21/2022 12:35",5.565972222
"172","FCX35.2",NA,NA,"FCX35","SB454","sulstoni","4/15/2022 23:00","",-44666.95833
"173","FCX3.3",NA,NA,"FCX3","JU4093","sp.66","1/0/1900 0:00","",0
"174","FCX4.3",NA,NA,"FCX4","JU4093","sp.66","1/0/1900 0:00","",0
"175","FCX6.3",NA,NA,"FCX6","JU4093","sp.66","4/21/2022 12:35","",-44672.52431
"176","FCX7.3",NA,NA,"FCX7","JU1857","macrosperma","1/0/1900 0:00","",0
"177","FCX8.3",NA,NA,"FCX8","JU1857","macrosperma","4/21/2022 12:35","",-44672.52431
"178","FCX9.3",NA,NA,"FCX9","JU1857","macrosperma","4/21/2022 12:35","",-44672.52431
"179","FCX11.3",NA,NA,"FCX11","JU1428","tropicalis","4/25/2022 10:30","",-44676.4375
"180","FCX12.3",NA,NA,"FCX12","JU1428","tropicalis","4/25/2022 10:30","",-44676.4375
