"","Well","Sample","SampleType","Ct","WormNumber","Line","Strain","Species","start","passage","days.on.plate"
"1","E7","FDI28","strip",Inf,0,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"2","E8","FDI28","strip",Inf,1,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"3","E9","FDI28","strip",Inf,1,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"4","E10","FDI28","strip",Inf,1,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"5","E11","FDI28","strip",Inf,2,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"6","E12","FDI28","strip",Inf,2,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"7","F1","FDI28","strip",Inf,2,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"8","F2","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"9","F3","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"10","F4","FDI28","strip",34.3222,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"11","F5","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"12","F6","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"13","F7","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"14","F8","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"15","F9","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"16","F10","FDI28","strip",Inf,3,"FDI28","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"17","F11","FDI12","strip",39.9824,0,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"18","F12","FDI12","strip",Inf,1,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"19","G1","FDI12","strip",28.502,1,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"20","G2","FDI12","strip",Inf,1,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"21","G3","FDI12","strip",Inf,2,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"22","G4","FDI12","strip",Inf,2,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"23","G5","FDI12","strip",Inf,2,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"24","G6","FDI12","strip",31.3215,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"25","G7","FDI12","strip",33.14,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"26","G8","FDI12","strip",28.1022,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"27","G9","FDI12","strip",Inf,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"28","G10","FDI12","strip",Inf,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"29","G11","FDI12","strip",Inf,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"30","G12","FDI12","strip",Inf,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"31","H1","FDI12","strip",Inf,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"32","H2","FDI12","strip",29.6668,3,"FDI12","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"33","H3","FDI9","strip",Inf,0,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"34","H4","FDI9","strip",Inf,1,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"35","H5","FDI9","strip",Inf,1,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"36","H6","FDI9","strip",Inf,1,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"37","H7","FDI9","strip",Inf,2,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"38","H8","FDI9","strip",Inf,2,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"39","H9","FDI9","strip",Inf,2,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"40","H10","FDI9","strip",Inf,3,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"41","A4","FDI9","strip",Inf,3,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"42","A5","FDI11","strip",Inf,0,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"43","A6","FDI18","strip",Inf,0,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"44","A7","FDI18","strip",22.0242,3,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"45","A8","FDI30","strip",Inf,0,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"46","A9","FDI30","strip",Inf,3,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"47","A10","FDI29","strip",Inf,0,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"48","A11","FDI29","strip",21.4737,3,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"49","B3","FDI5","strip",Inf,0,"FDI5","ZF1092","sp.25","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"50","B4","FDI9","strip",29.3614,3,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"51","B5","FDI11","strip",Inf,1,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"52","B6","FDI18","strip",34.7499,1,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"53","B7","FDI18","strip",28.963,3,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"54","B8","FDI30","strip",Inf,1,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"55","B9","FDI30","strip",Inf,3,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"56","B10","FDI29","strip",Inf,1,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"57","B11","FDI29","strip",Inf,3,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"58","C3","FDI5","strip",Inf,1,"FDI5","ZF1092","sp.25","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"59","C4","FDI9","strip",Inf,3,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"60","C5","FDI11","strip",Inf,1,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"61","C6","FDI18","strip",25.3988,1,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"62","C7","FDI18","strip",24.6345,3,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"63","C8","FDI30","strip",25.005,1,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"64","C9","FDI30","strip",Inf,3,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"65","C10","FDI29","strip",36,1,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"66","C11","FDI29","strip",35.6162,3,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"67","D3","FDI5","strip",27.0833,1,"FDI5","ZF1092","sp.25","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"68","D4","FDI9","strip",Inf,3,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"69","D5","FDI11","strip",Inf,1,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"70","D6","FDI18","strip",22.814,1,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"71","D7","FDI18","strip",19.2443,3,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"72","D8","FDI30","strip",Inf,1,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"73","D9","FDI30","strip",Inf,3,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"74","D10","FDI29","strip",Inf,1,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"75","D11","FDI29","strip",Inf,3,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"76","E3","FDI5","strip",Inf,1,"FDI5","ZF1092","sp.25","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"77","E4","FDI9","strip",Inf,3,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"78","E5","FDI11","strip",Inf,2,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"79","E6","FDI18","strip",22.5029,2,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"80","E7","FDI18","strip",26.3471,3,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"81","E8","FDI30","strip",Inf,2,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"82","E9","FDI30","strip",Inf,3,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"83","E10","FDI29","strip",Inf,2,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"84","E11","FDI29","strip",Inf,3,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"85","F3","FDI5","strip",Inf,2,"FDI5","ZF1092","sp.25","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"86","F4","FDI9","strip",Inf,3,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"87","F5","FDI11","strip",Inf,2,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"88","F6","FDI18","strip",26.9992,2,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"89","F7","FDI18","strip",22.0335,3,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"90","F8","FDI30","strip",Inf,2,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"91","F9","FDI30","strip",Inf,3,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"92","F10","FDI29","strip",Inf,2,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"93","F11","FDI29","strip",32.9051,3,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"94","G3","FDI5","strip",Inf,2,"FDI5","ZF1092","sp.25","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"95","G4","FDI9","strip",Inf,3,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"96","G5","FDI11","strip",Inf,2,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"97","G6","FDI18","strip",21.4323,2,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"98","G7","FDI18","strip",20.914,3,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"99","G8","FDI30","strip",Inf,2,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"100","G9","FDI30","strip",Inf,3,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"101","G10","FDI29","strip",Inf,2,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"102","G11","FDI29","strip",Inf,3,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"103","H3","FDI5","strip",Inf,1,"FDI5","ZF1092","sp.25","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"104","H4","FDI9","strip",Inf,3,"FDI9","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"105","H5","FDI11","strip",Inf,3,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"106","H6","FDI18","strip",19.283,3,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"107","H7","FDI18","strip",Inf,3,"FDI18","SB454","sulstoni","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"108","H8","FDI30","strip",Inf,3,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"109","H9","FDI30","strip",Inf,3,"FDI30","JU1873","wallacei","9/14/2022 14:00","9/19/2022 9:00",4.791666667
"110","H10","FDI29","strip",Inf,3,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"111","H11","FDI29","strip",Inf,3,"FDI29","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"112","A5","FDI11","strip",Inf,3,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"113","A6","FDI7","strip",Inf,0,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"114","A7","FDI7","strip",30.5742,3,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"115","A8","FDI24","strip",Inf,0,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"116","A9","FDI24","strip",27.0897,3,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"117","A10","FDI23","strip",Inf,0,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"118","A11","FDI23","strip",Inf,3,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"119","A12","FDI27","strip",Inf,0,"FDI27","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"120","B5","FDI11","strip",31.2546,3,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"121","B6","FDI7","strip",Inf,1,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"122","B7","FDI7","strip",Inf,3,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"123","B8","FDI24","strip",27.643,1,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"124","B9","FDI24","strip",33.2941,3,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"125","B10","FDI23","strip",Inf,1,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"126","B11","FDI23","strip",35.7034,3,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"127","B12","FDI27","strip",Inf,1,"FDI27","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"128","C5","FDI11","strip",32.5948,3,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"129","C6","FDI7","strip",Inf,1,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"130","C7","FDI7","strip",Inf,3,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"131","C8","FDI24","strip",Inf,1,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"132","C9","FDI24","strip",Inf,3,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"133","C10","FDI23","strip",Inf,1,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"134","C11","FDI23","strip",19.0738,3,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"135","C12","FDI27","strip",Inf,1,"FDI27","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"136","D1","FDI11","strip",Inf,3,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"137","D5","FDI11","strip",Inf,3,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"138","D6","FDI7","strip",29.3499,1,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"139","D7","FDI7","strip",Inf,3,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"140","D8","FDI24","strip",Inf,1,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"141","D9","FDI24","strip",Inf,3,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"142","D10","FDI23","strip",Inf,1,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"143","D11","FDI23","strip",35.6548,3,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"144","D12","FDI27","strip",Inf,1,"FDI27","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"145","E5","FDI11","strip",Inf,3,"FDI11","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"146","E6","FDI7","strip",26.6357,2,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"147","E7","FDI7","strip",Inf,3,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"148","E8","FDI24","strip",35.5811,2,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"149","E9","FDI24","strip",32.0384,3,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"150","E10","FDI23","strip",Inf,2,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"151","E11","FDI23","strip",Inf,3,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"152","E12","FDI27","strip",Inf,2,"FDI27","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
